,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210823-191549 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #024,0,pulling,41.33311198,7.373753462,9.659965063,-10.212635,31.12047698,7.373753462,1.903
2,20210823-191549 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #024,2,pulling,30.33516151,25.55965692,29.36692182,44.25965173,74.59481325,25.55965692,30.167
3,20210823-191549 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #024,3,pulling,9.538736018,23.83993425,27.85736613,71.90793858,81.4466746,23.83993425,43.871
4,20210823-191549 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #024,3,pulling,8.5626277,24.7511619,28.02816801,73.23836219,81.80098989,24.7511619,43.923
5,20210823-191549 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #024,4,pulling,36.80704809,19.87941405,22.95208944,26.86614353,63.67319162,19.87941405,57.263
6,20210823-191549 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #024,4,pulling,47.46809147,21.85862701,24.40738793,32.56781299,80.03590446,21.85862701,57.389
8,20210823-191549 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #024,6,pulling,42.42417323,16.84135471,19.49310613,35.39282421,77.81699744,16.84135471,84.395
,20210823-191549 20210823_dmMBP_1uM_dnaK_200nm_dnaJ_HMK(Antoine) #024,7,pulling,,,,77.81699744,130,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,35.39282421,77.81699744,26.86614353,63.67319162,32.56781299,80.03590446
,,,,,104.0965418,228.8735219,79.01806921,187.274093,95.78768526,235.399719
