,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,0,pulling,59.86545512,23.76699421,25.21170547,64.53314363,124.3985987,23.76699421,3.333
1,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,1,pulling,0,44.78551889,44.78551889,124.9529413,124.9529413,44.78551889,
2,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,2,pulling,0,44.89130369,44.89130369,122.3035192,122.3035192,44.89130369,
3,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,3,pulling,13.75317544,36.8596595,41.12382213,108.0687062,121.8218816,36.8596595,50.827
4,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,3,pulling,13.06766018,38.15349018,41.3335526,108.8079016,121.8755618,38.15349018,50.891
5,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,3,pulling,12.61481887,38.27902428,41.45723361,109.3203662,121.9351851,38.27902428,50.899
6,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,4,pulling,78.43049158,20.90921671,21.10424169,43.15115713,121.5816487,20.90921671,65.367
7,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,5,pulling,0,44.66945238,44.66945238,121.0162158,121.0162158,44.66945238,
8,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,6,pulling,0,44.86029659,44.86029659,121.5366754,121.5366754,44.86029659,
9,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,7,pulling,0,44.30698563,44.30698563,119.4434495,119.4434495,44.30698563,
10,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,8,pulling,0,44.87050236,44.87050236,121.106047,121.106047,44.87050236,
11,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,9,pulling,0,44.84769663,44.84769663,122.9137339,122.9137339,44.84769663,
12,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,10,pulling,0,44.53375967,44.53375967,123.6546303,123.6546303,44.53375967,
13,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,11,pulling,0,44.82402591,44.82402591,122.9433266,122.9433266,44.82402591,
14,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,12,pulling,6.751939156,31.07172437,34.72641625,118.7798454,125.5317845,31.07172437,190.735
15,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,12,pulling,6.599363096,31.25986329,34.84703739,118.9821224,125.5814855,31.25986329,190.745
16,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,13,pulling,108.3885441,11.08065175,12.28351943,12.13638849,120.5249326,11.08065175,204.887
17,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,14,pulling,0,44.64018162,44.64018162,125.7917742,125.7917742,44.64018162,
18,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,15,pulling,0,45.20948425,45.20948425,124.1524703,124.1524703,45.20948425,
19,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,16,pulling,0,45.04038858,45.04038858,124.0763242,124.0763242,45.04038858,
20,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,17,pulling,0,44.4938604,44.4938604,121.4697737,121.4697737,44.4938604,
21,20210825-200244 20210825_dmMBP_1uM_K_200nm_J-HMK(Anotine) #046,18,pulling,0,44.85371027,44.85371027,124.1577609,124.1577609,44.85371027,
