,fileName,analysisId,moleculeId,folderProject,folderData,dateAction,actionName,filePathAnalysis,rulers,bpDNA,extensionOffset,forceOffset,tStart,tEnd,tweezersParametersModification,contourLengthDNA,persistenceLengthDNA,stretchModulusDNA,persistenceLengthProtein,trapStiffness1,expDiffusion1,trapStiffness2,expDiffusion2,comments,actionState
0,20191129-154637 1662L_refolding_at_15pN #001-011,0,0,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 02:30:32.239942,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210216/wlc_manual_fit.py,"[0.0, 31.85, 63.7, 259.0, 285.6, 312.2]",5000,-255.05814510888402,-0.5,0.024,655.658,1.05,1700.0000000000002,35.0,850.0,0.95,0.3122714993799053,2.9914651918466214e-06,0.3932732057242724,8.48066288273659e-06,,success
1,20191129-154637 1662L_refolding_at_15pN #001-011,1,0,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 02:43:52.306765,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210216/wlc_manual_fit.py,"[0.5, 31.85, 63.7, 259.0, 285.6, 312.2]",5000,-248.95430579335263,-0.8,0.024,655.658,1.05,1700.0000000000002,44.4,850.0,1.0,0.3122714993799053,2.9914651918466214e-06,0.3932732057242724,8.48066288273659e-06,,success
2,20200213-175458 1664M #001-017,2,1,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 03:40:26.964079,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 156.1, 187.95, 259.0, 285.6, 312.2]",5000,417.55309138764295,0.0,0.026000000000000002,1066.878,0.95,1700.0000000000002,55.0,560.0,0.9,0.18163345807020906,8.587922559997591e-07,0.1692465708374815,1.6884251140904342e-06,,success
3,20200304-121553 cdc48_500nM_1664L #001-013,3,2,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 04:18:39.169674,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 52.65, 84.5, 214.0, 259.0, 285.6, 312.2]",5000,186.74291350261024,0.0,0.022,416.23800000000006,1.0,1700.0000000000002,38.0,680.0,0.65,0.3897524268519952,3.8354430111172345e-06,0.3406809818104639,6.996400508481925e-06,,success
4,20200305-173447 1664M_cdc48-400nM_UN-500nM_Zinc #003-002,4,3,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 04:46:39.021651,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 78.5, 176.15, 208.0, 259.0, 285.6, 312.2]",5000,246.09821084384063,-0.3,9.97,161.166,1.0,1700.0000000000002,35.0,600.0,0.75,0.3828112383854049,3.3811653813642653e-06,0.3811405103709544,7.420261627925079e-06,,success
5,20200312-130810  1664M_cdc48_500nM  #004-003,5,4,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 05:14:43.902510,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 161.35, 259.0, 285.6, 312.2]",5000,201.92265644159718,-0.5,0.032,753.43,1.0,1700.0000000000002,45.0,680.0,0.75,0.3688135015651624,3.4710658334709517e-06,0.35152047652989715,6.787376975106157e-06,,success
6,20200312-130810  1664M_cdc48_500nM  #004-003,6,4,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 05:18:33.163044,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 161.35, 259.0, 285.6, 312.2]",5000,200.42249183304216,-0.5,0.032,754.44,1.0,1700.0000000000002,45.0,700.0,0.75,0.3688135015651624,3.4710658334709517e-06,0.35152047652989715,6.787376975106157e-06,,success
7,20200312-130810  1664M_cdc48_500nM  #004-003,7,4,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 05:19:01.293290,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 161.35, 259.0, 285.6, 312.2]",5000,200.42249183304216,-0.5,0.032,754.44,1.0,1700.0000000000002,45.0,700.0,0.75,0.3688135015651624,3.4710658334709517e-06,0.35152047652989715,6.787376975106157e-06,,success
8,20200415-152536 1mMcdc48_2-5mMUN_Zinc_Eos #002-002,8,5,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 05:24:23.974200,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 161.35, 259.0, 285.6, 312.2]",5000,-1486.4238135992255,0.3,0.03,907.862,1.0,1700.0000000000002,30.0,500.0,0.75,0.3220635527363395,2.352406834348114e-06,0.23366316701419465,3.364235120076785e-06,,success
9,20200714-125828 cdc48_1664L #001-003,9,6,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 05:58:22.597477,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 58.45, 90.3, 161.35, 193.2, 259.0, 285.6, 312.2]",5000,11.886060115914233,0.1,54.27,414.602,0.95,1700.0000000000002,13.5,620.0,0.75,0.36024891745121596,2.707128852409158e-06,0.2374175360878146,2.825102781737296e-06,,success
10,20200714-141051 cdc48_1664L #004-003,10,7,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 06:06:40.984020,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 31.85, 63.7, 160.85, 259.0, 285.6, 312.2]",5000,308.63205691025934,0.0,0.036000000000000004,50.01600000000001,1.0,1700.0000000000002,6.0,3000.0,0.75,0.3064762980886024,2.422555825597608e-06,0.48708824569370895,7.97156530369994e-06,,success
11,20200714-142643 cdc48_1664L #005-003,11,8,D:/projects/ubiquitin_extrusion,D:/projects/ubiquitin_extrusion/csv_raw_data,2021-03-07 06:11:10.088063,wlc_manual_fit,D:/projects_analysis/tweezers_analysis_20210307/wlc_manual_fit.py,"[0.0, 31.85, 63.7, 160.85, 259.0, 285.6, 312.2]",5000,613.0830194112798,-0.5,0.038,324.154,1.06,1700.0000000000002,30.0,900.0,0.75,0.3170145288619935,2.6974219561308897e-06,0.5384630681992927,9.724937139356686e-06,,success
